global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	cosine00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	aroma_motion_03	aroma_motion_06	aroma_motion_09	aroma_motion_10	aroma_motion_12	aroma_motion_18	aroma_motion_22	aroma_motion_25
977.0611521	n/a	n/a	954648.4949	1139.96331	n/a	1299516.347	n/a	941.5076088	n/a	n/a	886436.5775	949.4045587	871.5290865	n/a	n/a	n/a	n/a	-0.023658186	-0.040801637	0.043834373	0.046462655	-0.052045463	-0.06194703	0.045514264	0.183060037	-0.133940152	0.069884627	-0.183705444	0.122330043	-0.154102912	-0.188182039	0.231787043	-0.026335009	0.189251981	-0.070001488	0.054689708	-0.091031365	0.09274278	-0.058815982	0.053003917	0.158575202	-0.077619772	0.162100681	-0.134819159	0.194858519	-0.120016781	-0.256090001	0.052891663	-0.061070973	0.235137879	-0.043080725	0.072955938	-0.03083288	0.098152471	0.158083405	0.0209816	n/a	0.000440228	n/a	0.0484515	n/a	n/a	0.002347548	-6.24E-05	n/a	n/a	3.90E-09	-9.10E-05	n/a	n/a	8.27E-09	-0.00198149	n/a	n/a	3.93E-06	0.000377516	n/a	n/a	1.43E-07	0	0	0	0	0	0	0	0	0	0	0	0	0.234401638	0.569698298	0.236720626	-1.306453535	0.161382696	2.1422731	1.943553048	-1.05426305
969.7006878	-7.36046428	54.17643442	940319.4239	1145.525753	5.562443048	1312229.25	30.94077266	940.681291	-0.826317866	0.682801216	884881.2912	948.7193589	876.7584115	0	25.679855	1.5	0.0500883	-0.057991704	0.044239099	0.166408903	-0.017066732	0.007474947	-0.145711079	0.038236329	-0.050391452	0.037432769	-0.119518056	-0.019333957	0.073339463	-0.117873119	-0.034462997	0.031657498	0.035377179	0.006669039	-0.047184507	-0.105970481	-0.065797101	0.164622603	-0.14606351	0.045891466	-0.026940931	-0.063782941	-0.125900578	-0.009536753	0.070697451	-0.099327513	-0.064090333	-0.0130523	0.043810497	0.014034169	-0.035761471	-0.104150344	-0.011923891	0.172238024	0.157839652	0.0175215	-0.0034601	0.000307003	1.20E-05	0.0484649	1.34E-05	1.80E-10	0.002348847	-0.0235817	-0.023519261	0.000553156	0.000556097	0.000619869	0.000710831	5.05E-07	3.84E-07	-0.00170604	0.00027545	7.59E-08	2.91E-06	0.000388137	1.06E-05	1.13E-10	1.51E-07	0	0	0	0	0	0	0	0	0	0	0	0	0.80354154	1.737554573	0.003018557	1.368509137	-1.013374	0.317429911	0.158287018	0.029071259
965.454578	-4.246109759	18.02944809	932102.5422	1147.131031	1.605278084	1315909.602	2.576917727	940.9792482	0.297957196	0.08877849	885441.9455	949.3766486	882.8985985	0	22.006069	0	0.104418	-0.012228139	0.038611568	0.12875944	-0.052022579	0.255432526	-0.094291986	0.088378409	0.009605968	0.005250975	-0.024958822	0.0341699	0.127347574	-0.030975288	0.079190601	0.081606422	-0.109085351	-0.072762472	-0.076391999	-0.054696873	-0.121830671	-0.15161613	-0.095429779	0.092298984	0.007355603	-0.025404951	-0.025047226	0.072938344	0.1372494	-0.034279118	0.033876513	0.080151363	-0.10759798	-0.066685586	-0.060341998	-0.016070372	-0.187331397	-0.059511539	0.157352521	0.0426067	0.0250852	0.001815331	0.000629267	0.0672158	0.0187509	0.000351596	0.004517964	0.0378108	0.0613925	0.003769039	0.001429657	-0.000617579	-0.001237448	1.53E-06	3.81E-07	-0.00157709	0.00012895	1.66E-08	2.49E-06	0.000462505	7.44E-05	5.53E-09	2.14E-07	0	0	0	0	0	0	0	0	0	0	0	0	-0.123533359	1.892150332	0.120715618	-0.109342911	-0.631626677	0.534224437	-1.205215525	-0.583006071
963.0235942	-2.430983812	5.909682292	927414.443	1147.224645	0.093614321	1316124.386	0.008763641	939.6384882	-1.340759958	1.797637264	882920.4885	948.4265516	883.9364427	0	17.451349	0	0.0543321	-0.011450955	0.080069622	0.136844776	-0.074747953	0.226536717	-0.057206326	0.005196134	-0.104443949	0.00895128	-0.074539565	0.024813203	0.063021027	-0.06321699	0.20512664	0.075921612	-0.105857223	-0.003656485	0.014354479	-0.159896085	-0.01322119	-0.0114066	-0.061948206	0.006011633	-0.088735215	-0.042438147	-0.083003817	0.048113478	0.07663183	-0.098850691	0.155105557	0.125631834	-0.106983318	-0.016201965	0.011836474	-0.161686961	-0.039469687	0.005394517	0.156622765	0.0491088	0.0065021	0.002411674	4.23E-05	0.0449091	-0.0223067	0.000497589	0.002016827	0.0546212	0.0168104	0.00028259	0.002983475	-0.00123603	-0.000618451	3.82E-07	1.53E-06	-0.000981975	0.000595115	3.54E-07	9.64E-07	0.000547109	8.46E-05	7.16E-09	2.99E-07	0	0	0	0	0	0	0	0	0	0	0	0	0.957988273	1.509649639	-0.209700674	0.691601624	-0.872182854	-0.818983491	-0.532881939	0.430246506
960.0995388	-2.924055406	8.550100016	921791.1244	1138.809963	-8.414682332	1296888.131	70.80687875	937.4084567	-2.230031537	4.973040655	878734.6147	945.8364758	870.0564397	0	18.32427	0	0.0764366	-0.027314536	0.033295954	0.127747729	0.01712111	0.184213756	-0.003356064	-0.030855012	0.030374869	0.018494655	-0.133890027	0.165101578	-0.028738472	-0.07462622	0.103482826	0.023257817	-0.077698392	0.015896026	0.01818737	-0.039540319	0.012671551	-0.000841043	-0.010021487	-0.030978788	0.043662828	-0.086893882	-0.11650165	0.164762491	-0.047815929	-0.088179608	0.093388221	0.036851362	-0.082705803	0.005043877	0.020245385	-0.027238973	0.012974016	0.02725629	0.155651507	0.0490384	-7.04E-05	0.002404765	4.96E-09	0.0472509	0.0023418	5.48E-06	0.002232648	0.012857	-0.0417642	0.001744248	0.000165302	-0.000275016	0.000961014	9.24E-07	7.56E-08	-0.000566037	0.000415938	1.73E-07	3.20E-07	0.000248422	-0.000298687	8.92E-08	6.17E-08	0	0	0	0	0	0	0	0	0	0	0	0	-0.662500217	1.154802127	-0.716437113	0.350482816	-1.966003608	0.179233511	-1.001479315	0.015597926
959.0400522	-1.059486644	1.122511949	919757.8217	1111.782863	-27.02710006	1236061.134	730.4641376	935.484705	-1.923751647	3.700820399	875131.6334	943.3257199	853.6853801	0	17.717072	0	0.0740659	-0.010715623	-0.073462874	0.088411045	0.026147782	-0.025259401	0.096268369	-0.098529149	0.016287507	-0.014009206	-0.148300677	0.136494563	-0.096626028	-0.120092895	0.10871024	0.023598894	-0.115835195	-0.02619781	0.013135583	0.119847488	0.080093235	0.050423413	0.092403237	-0.098045678	0.0318563	-0.124171557	-0.106999221	0.116518341	-0.100585513	-0.130167113	0.079963037	0.041095068	-0.108229413	-0.040869743	0.014946543	0.106787922	0.114346095	0.006787697	0.154440246	0.049009	-2.94E-05	0.002401882	8.64E-10	0.106492	0.0592411	0.003509508	0.011340546	0.0481669	0.0353099	0.001246789	0.00232005	-0.000517257	-0.000242241	5.87E-08	2.68E-07	-0.000261127	0.00030491	9.30E-08	6.82E-08	0.000362648	0.000114226	1.30E-08	1.32E-07	0	0	0	0	0	0	0	0	0	0	0	0	0.149732939	-0.030030184	-0.937542682	-0.25755317	-2.322108306	0.246554252	-1.083855256	-0.955804716
961.2982402	2.258188057	5.0994133	924094.3067	1123.80308	12.02021715	1262933.362	144.4856203	936.3158126	0.831107565	0.690739785	876687.3009	944.3415211	868.5734993	0	16.250782	0	0.0709145	0.015179046	-0.031699584	0.062013676	0.011889929	-0.078024776	0.073125466	-0.083502686	-0.065982763	-0.073877009	-0.173622306	0.129537474	-0.037489499	-0.048174959	0.070764389	-0.095422046	-0.013048756	-0.089092263	0.138078522	0.083982774	0.053175249	0.009089734	0.068516175	-0.084434399	-0.049782523	-0.164769447	-0.092090122	0.088622725	-0.090754615	-0.063227582	0.102736387	-0.06851193	0.021630571	-0.117617945	0.1373539	0.057427039	0.062312047	-0.03663411	0.15299085	0.0554491	0.0064401	0.003074603	4.15E-05	0.0902811	-0.0162109	0.000262793	0.008150677	0.0696189	0.021452	0.000460188	0.004846791	-0.00156673	-0.001049473	1.10E-06	2.45E-06	-2.99E-05	0.000231264	5.35E-08	8.92E-10	0.000866969	0.000504321	2.54E-07	7.52E-07	0	0	0	0	0	0	0	0	0	0	0	0	0.429874445	0.34211358	-0.82609212	0.817693312	-2.373253424	-0.824680622	-0.295518988	0.755436518
963.0449061	1.746665906	3.050841786	927455.4912	1124.854973	1.051892936	1265298.71	1.106478748	936.6655792	0.34976656	0.122336646	877342.4072	944.5700266	850.6628019	0	19.421316	0	0.13528	-0.03676452	-0.043486754	0.090897458	-0.113405663	-0.104398183	0.047890491	-0.08929174	-0.012062085	-0.139425549	-0.167362562	0.084551471	0.040839406	-0.146327913	0.003620891	-0.128073687	0.09231269	0.060776943	0.116675248	0.06726425	-0.050025271	0.056204468	0.04316214	-0.087037432	-0.004275597	-0.206135023	-0.037034957	0.057953577	-0.007062358	-0.128061562	0.054459547	-0.159616026	0.118440653	0.039095944	0.131945183	0.051239181	-0.019634571	0.042393437	0.151305552	0.0352363	-0.0202128	0.001241597	0.000408557	0.0341755	-0.0561056	0.003147838	0.001167965	0.000695531	-0.068923369	0.004750431	4.84E-07	-0.000138148	0.001428582	2.04E-06	1.91E-08	-0.000480863	-0.000451	2.03E-07	2.31E-07	0.000322476	-0.000544493	2.96E-07	1.04E-07	0	0	0	0	0	0	0	0	0	0	0	0	0.136341109	0.028932715	-0.690742319	0.552016308	-2.514376064	-0.004579954	-0.149752118	-0.899378887
967.5080441	4.463137926	19.91960014	936071.8153	1125.072638	0.217664825	1265788.44	0.047377976	937.2971318	0.631552595	0.39885868	878525.9132	944.9741124	865.8502185	0	22.45853	0	0.12757	0.020484616	-0.066895784	-0.00660115	-0.1518759	-0.046447745	0.090996372	-0.097217146	-0.054221822	-0.13167497	0.043467928	-0.046299589	0.042378083	0.049631061	0.104278493	0.0088658	0.041545843	0.014754513	0.084142273	-0.089187274	0.129011125	0.016127757	0.087780491	-0.100587503	-0.076285777	-0.077056481	0.101702443	-0.027589843	0.057248056	0.040305512	0.080902701	0.072413423	0.046824849	0.016585203	0.069033742	-0.100873817	0.081831904	-0.088374369	0.149386953	0.0604535	0.0252172	0.003654626	0.000635907	0.0795785	0.045403	0.002061432	0.006332738	0.0675297	0.066834169	0.004466806	0.00456026	-0.00148502	-0.001346872	1.81E-06	2.21E-06	0.000209923	0.000690786	4.77E-07	4.41E-08	0.000607883	0.000285407	8.15E-08	3.70E-07	0	0	0	0	0	0	0	0	0	0	0	0	1.239517297	0.065617243	0.603323205	-0.478504163	-0.603313179	-0.125561509	0.844108973	0.51352291
970.7151884	3.207144325	10.28577472	942287.977	1128.514001	3.44136389	1273543.851	11.84298542	941.859296	4.562164274	20.81334286	887098.9335	949.345753	871.9372904	0	18.477581	0	0.0690311	0.028881084	0.001060388	-0.067573887	-0.160535547	-0.082937154	-0.062546916	0.082131997	-0.14397685	-0.106867048	3.43E-05	-0.127420071	0.109944132	0.074322374	-0.00281594	-0.040419679	0.019823808	-0.092998339	-0.059452452	-0.129401481	-0.121153746	-0.152584379	-0.058653711	0.082025383	-0.160917451	-0.057971402	0.065652005	-0.119073485	0.115398224	0.09135381	0.017804896	-0.039913043	0.010468705	-0.08622801	-0.058676633	-0.087195014	-0.219558579	-0.121013992	0.147238009	0.0522779	-0.0081756	0.002732979	6.68E-05	0.0221844	-0.0573941	0.003294083	0.000492148	0.0797197	0.01219	0.000148596	0.006355231	-0.00101056	0.00047446	2.25E-07	1.02E-06	0.000218473	8.55E-06	7.31E-11	4.77E-08	0.000187532	-0.000420351	1.77E-07	3.52E-08	0	0	0	0	0	0	0	0	0	0	0	0	0.277659614	0.0221863	0.668650306	1.22842766	0.641260234	-0.271502157	-0.652840609	1.758688714
